epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,14577,0.19227,0.13932,0.79016,0.99983,0.99984,0.995,0.99495,0.08647,0.0736,0.76128,0.006667,0.006667,0.006667
103,14719.8,0.19046,0.1372,0.79114,0.99983,0.99984,0.995,0.99495,0.08634,0.07381,0.76133,0.006634,0.006634,0.006634
104,14862.5,0.19065,0.1374,0.7909,0.99983,0.99984,0.995,0.99495,0.08602,0.07374,0.76136,0.006601,0.006601,0.006601
105,15005.5,0.19572,0.14001,0.79239,0.99983,0.99984,0.995,0.99495,0.08591,0.07406,0.76146,0.006568,0.006568,0.006568
106,15148.2,0.1956,0.13893,0.79203,0.99983,0.99984,0.995,0.99495,0.08583,0.07412,0.76141,0.006535,0.006535,0.006535
107,15291,0.19395,0.13848,0.79042,0.99983,0.99984,0.995,0.99495,0.08589,0.07369,0.76137,0.006502,0.006502,0.006502
108,15433.5,0.1884,0.13768,0.79081,0.99983,0.99984,0.995,0.99495,0.08582,0.07405,0.76135,0.006469,0.006469,0.006469
109,15576,0.18661,0.13638,0.78923,0.99983,0.99984,0.995,0.99495,0.08564,0.07403,0.76131,0.006436,0.006436,0.006436
110,15718.7,0.19402,0.13684,0.79178,0.99983,0.99984,0.995,0.99495,0.08534,0.07433,0.76134,0.006403,0.006403,0.006403
111,15861.5,0.19286,0.13536,0.79101,0.99983,0.99984,0.995,0.99495,0.08495,0.07412,0.76141,0.00637,0.00637,0.00637
112,16004,0.19037,0.13586,0.79043,0.99983,0.99984,0.995,0.99495,0.08484,0.07392,0.76144,0.006337,0.006337,0.006337
113,16146.6,0.19088,0.13591,0.79266,0.99983,0.99984,0.995,0.99495,0.0844,0.07334,0.76148,0.006304,0.006304,0.006304
114,16289,0.19057,0.13427,0.79165,0.99983,0.99984,0.995,0.99495,0.08421,0.07368,0.76147,0.006271,0.006271,0.006271
115,16431.6,0.1911,0.13513,0.79206,0.99983,0.99984,0.995,0.99495,0.08376,0.07328,0.76159,0.006238,0.006238,0.006238
116,16574.1,0.18989,0.13496,0.79182,0.99983,0.99984,0.995,0.99495,0.0834,0.0731,0.7616,0.006205,0.006205,0.006205
117,16716.8,0.18995,0.13569,0.79274,0.99983,0.99984,0.995,0.99495,0.0831,0.07309,0.76156,0.006172,0.006172,0.006172
118,16859.6,0.18875,0.13573,0.79218,0.99983,0.99984,0.995,0.99495,0.08251,0.07276,0.76144,0.006139,0.006139,0.006139
119,17002.6,0.18504,0.13476,0.79084,0.99983,0.99984,0.995,0.99496,0.08195,0.07231,0.76117,0.006106,0.006106,0.006106
120,17145.5,0.18631,0.13341,0.79142,0.99983,0.99984,0.995,0.99496,0.0815,0.07191,0.76091,0.006073,0.006073,0.006073
121,17288.3,0.18716,0.13481,0.79066,0.99983,0.99984,0.995,0.99496,0.08126,0.07172,0.76079,0.00604,0.00604,0.00604
122,17430.8,0.1903,0.13447,0.7925,0.99983,0.99984,0.995,0.99497,0.08101,0.07127,0.76064,0.006007,0.006007,0.006007
123,17574.3,0.18716,0.13417,0.78952,0.99983,0.99984,0.995,0.99497,0.08079,0.07128,0.76045,0.005974,0.005974,0.005974
124,17717.1,0.1838,0.13384,0.78909,0.99983,0.99984,0.995,0.99497,0.0806,0.07122,0.76038,0.005941,0.005941,0.005941
125,17860.2,0.18536,0.13222,0.78951,0.99983,0.99984,0.995,0.99497,0.0806,0.0712,0.76035,0.005908,0.005908,0.005908
126,18003.3,0.18517,0.13309,0.79024,0.99983,0.99984,0.995,0.99497,0.08026,0.07111,0.76024,0.005875,0.005875,0.005875
127,18145.7,0.18491,0.13362,0.78925,0.99983,0.99984,0.995,0.99497,0.07992,0.07094,0.76026,0.005842,0.005842,0.005842
128,18288,0.17897,0.1311,0.78824,0.99983,0.99984,0.995,0.99497,0.07963,0.07055,0.76025,0.005809,0.005809,0.005809
129,18430.4,0.17543,0.12918,0.78767,0.99983,0.99984,0.995,0.99497,0.07922,0.07005,0.76024,0.005776,0.005776,0.005776
130,18572.8,0.17697,0.13067,0.78794,0.99983,0.99984,0.995,0.99496,0.07873,0.06962,0.76015,0.005743,0.005743,0.005743
131,18715.4,0.17639,0.13121,0.78873,0.99983,0.99984,0.995,0.99496,0.07822,0.06938,0.76011,0.00571,0.00571,0.00571
132,18858,0.17658,0.1285,0.7901,0.99983,0.99984,0.995,0.99496,0.07783,0.06921,0.76012,0.005677,0.005677,0.005677
133,19000.3,0.17716,0.13009,0.78955,0.99983,0.99984,0.995,0.99496,0.0777,0.06929,0.76023,0.005644,0.005644,0.005644
134,19143,0.17394,0.128,0.78809,0.99983,0.99984,0.995,0.99497,0.07745,0.06901,0.7604,0.005611,0.005611,0.005611
